Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,,146.010000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
1,MMUATIS,124.250000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,Morristown Municipal ATIS,,,,
2,MMU TOW,118.100000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,Morristown Municipal Tower VHF,,,,
3,MMU GRD,134.200000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,Morristown Municipal Ground,,,,
4,MMU EMG,121.500000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,Morristown Municipal Emergency VHF,,,,
13,SEA 13,156.650000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,VHF Channel 13 Marine Calling,,,,
16,SEA 16,156.800000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,VHF Channel 16 Marine Distress,,,,
20,WX1PA7,162.550000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,NOAA Weather,,,,
21,WX2PA1,162.400000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,NOAA Weather,,,,
22,WX3PA4,162.475000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,NOAA Weather,,,,
23,WX4PA2,162.425000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,NOAA Weather,,,,
24,WX5PA3,162.450000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,NOAA Weather,,,,
25,WX6PA5,162.500000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,NOAA Weather,,,,
26,WX7PA6,162.525000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,NOAA Weather,,,,
27,WX8,161.650000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,NOAA Weather,,,,
28,WX9,161.775000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,NOAA Weather,,,,
29,WX10,163.275000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,NOAA Weather,,,,
40,FRS 1,462.562500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,Family Radio Service,,,,
41,FRS 2,462.587500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,Family Radio Service,,,,
42,FRS3MB1,462.612500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,MBS Channel 1 Admin and Security,,,,
43,FRS 4,462.637500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,Family Radio Service,,,,
44,FRS 5,462.662500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,Family Radio Service,,,,
45,FRS 6,462.687500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,Family Radio Service,,,,
46,FRS7MB2,462.712500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,MBS Channel 2 Security Only,,,,
47,FRS 8,467.562500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,Family Radio Service,,,,
48,FRS 9,467.587500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,Family Radio Service,,,,
49,FRS 10,467.612500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,Family Radio Service,,,,
50,FRS 11,467.637500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,Family Radio Service,,,,
51,FRS 12,467.662500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,Family Radio Service,,,,
52,FRS 13,467.687500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,Family Radio Service,,,,
53,FRS 14,467.712500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,Family Radio Service,,,,
54,FRS 15,462.550000,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,Family Radio Service,,,,
55,FRS 16,462.575000,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,Family Radio Service,,,,
56,FRS 17,462.600000,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,Family Radio Service,,,,
57,FRS 18,462.625000,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,Family Radio Service,,,,
58,FRS 19,462.650000,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,Family Radio Service,,,,
59,FRS 20,462.675000,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,Family Radio Service,,,,
60,FRS 21,462.700000,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,Family Radio Service,,,,
61,FRS 22,462.725000,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,Family Radio Service,,,,
69,SEA 69,156.475000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,Marine VHF 69 general use,,,,
71,SEA 71,156.575000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,Marine VHF 71 general use,,,,
102,MMU2TOW,353.900000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,Morristown Municipal Tower UHF,,,,
104,MMU2EMG,243.000000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,Morristown Municipal Emergency UHF,,,,
